idx,engine,grad_step,flow_sigma,regularizer,inverse_steps,dice_fwd,dice_inv,dice_sym,fold_fwd,fold_inv,inv_err,bnd_fwd,bnd_inv,jac_min_fwd,jac_min_inv
30,syntx,0.2,4.0,dsti,5,0.5977520865930159,0.537458086460713,0.5676050865268645,0.03640609014116869,0.03578509073577562,0.0316033658454754,0.007165160495787859,0.004120200872421265,0.0,0.0
31,syntx,0.2,4.0,dsti,20,0.5977505979674457,0.5374522000540216,0.5676013990107336,0.03648371506684282,0.035940340587123885,0.031629451447469266,0.007165136281400919,0.004120188299566507,0.0,0.0
32,syntx,0.25,3.0,gaussian,5,0.5929650771495476,0.5369949348390799,0.5649800059943137,0.12784825258529814,0.13266099797709444,0.03537034784796772,0.014792797155678272,0.009149518795311451,0.0,0.0
33,syntx,0.25,3.0,gaussian,20,0.5929656010180204,0.5369867518647142,0.5649761764413673,0.12846925199069123,0.12940075109878083,0.0353764438746165,0.014792808331549168,0.009149523451924324,0.0,0.0
34,syntx,0.25,3.0,dsti,5,0.5749143864946322,0.5086958335044848,0.5418051099995584,0.039511087168134035,0.0717254313228995,0.028771753978144115,0.0018935160478577018,0.001467681722715497,0.0,0.0
35,syntx,0.25,3.0,dsti,20,0.5943604325635172,0.5329689345613534,0.5636646835624353,0.05402694826919703,0.0544150728975677,0.034491333756710055,0.005300362128764391,0.0028647349681705236,0.0,0.0
36,syntx,0.25,4.0,gaussian,5,0.5873487827146698,0.533824652790057,0.5605867177523634,0.10704477250463033,0.11674788821389703,0.03247398629217785,0.02811991423368454,0.015621199272572994,0.0,0.0
37,syntx,0.25,4.0,gaussian,20,0.5873597414433772,0.5338168907969204,0.5605883161201488,0.11488488999771783,0.1173688876192901,0.03252724189992325,0.02811991050839424,0.015621192753314972,0.0,0.0
38,syntx,0.25,4.0,dsti,5,0.5980693877798542,0.5369271894149282,0.5674982885973912,0.045565831370716466,0.05410457319487117,0.033918049630943185,0.0077568343840539455,0.004419761709868908,0.0,0.0
39,syntx,0.25,4.0,dsti,20,0.5980707461709425,0.5369270928288493,0.5674989194998958,0.0456434562963906,0.05425982304621943,0.03393104150690177,0.007756820879876614,0.004419757518917322,0.0,0.0
40,syntx,0.3,3.0,gaussian,5,0.5908221183098026,0.5351306845503513,0.5629764014300769,0.1408892400985526,0.16145984540219802,0.037979150690183976,0.015954554080963135,0.009729820303618908,0.0,0.0
41,syntx,0.3,3.0,gaussian,20,0.5908243753150676,0.5351165368531985,0.5629704560841331,0.1412773647269233,0.16262421928731002,0.037996033838190106,0.015954602509737015,0.009729842655360699,0.0,0.0
42,syntx,0.3,3.0,dsti,5,0.5967212083296735,0.534971077874431,0.5658461431020523,0.06427343845818267,0.06241044024200347,0.035516433809432445,0.004976905416697264,0.0027301034424453974,0.0,0.0
43,syntx,0.3,3.0,dsti,20,0.5967192037262142,0.5349765608417084,0.5658478822839613,0.06427343845818267,0.061944690687958666,0.035500593126917106,0.004976879805326462,0.0027300913352519274,0.0,0.0
44,syntx,0.3,4.0,gaussian,5,0.5847693746211219,0.5323287246376605,0.5585490496293912,0.12606287929479307,0.1316518739433307,0.033758441574003,0.02969752810895443,0.016264768317341805,0.0,0.0
45,syntx,0.3,4.0,gaussian,20,0.5847559912405058,0.5323313571182466,0.5585436741793762,0.12117250897732265,0.1307203748352411,0.03373896424463184,0.02969757467508316,0.016264790669083595,0.0,0.0
46,syntx,0.3,4.0,dsti,5,0.5977404606992023,0.5357492706118651,0.5667448656555336,0.06854280937026003,0.07941029896463873,0.03674267877684042,0.008367947302758694,0.0047368635423481464,0.0,0.0
47,syntx,0.3,4.0,dsti,20,0.5977453387270911,0.5357274370356392,0.5667363878813652,0.06908618384997897,0.08049704792407661,0.036783260041219255,0.008368117734789848,0.0047369059175252914,0.0,0.0
48,syntx,0.35,3.0,gaussian,5,0.5881920739897696,0.5328097270358159,0.5605009005127928,0.16766983945612873,0.17946882815859705,0.040368463621549,0.01696714758872986,0.010222111828625202,0.0,0.0
49,syntx,0.35,3.0,gaussian,20,0.58819658725906,0.532816549468682,0.560506568363871,0.16790271423315112,0.19235456582050323,0.040537205233895625,0.01696775294840336,0.010222394950687885,0.0,0.0
50,syntx,0.35,3.0,dsti,5,0.5965330309484335,0.5343196875472711,0.5654263592478523,0.0857755428699177,0.08973441407929852,0.03767180610141864,0.005133965518325567,0.002815897110849619,0.0,0.0
51,syntx,0.35,3.0,dsti,20,0.5965336198815784,0.5343619058497662,0.5654477628656722,0.07987604851868355,0.08468879391047983,0.03749467683569778,0.0051401215605437756,0.0028174135368317366,0.0,0.0
52,syntx,0.35,4.0,gaussian,5,0.5838424102943496,0.5305543385587449,0.5571983744265472,0.1507476056591676,0.1710853361857906,0.03613290536330514,0.03089332953095436,0.017060838639736176,0.0,0.0
53,syntx,0.35,4.0,gaussian,20,0.5838358678908503,0.5306227256919231,0.5572292967913868,0.14407186205119207,0.1672040899020839,0.036084847105061275,0.03085988201200962,0.017040768638253212,0.0,0.0
54,syntx,0.35,4.0,dsti,5,0.5977401728210812,0.5353806362960869,0.566560404558584,0.08655179212665903,0.1118575178964266,0.03904395729486189,0.008606646209955215,0.004880042746663094,0.0,0.0
55,syntx,0.35,4.0,dsti,20,0.5977312295751095,0.535382318175629,0.5665567738753692,0.08608604257261424,0.10463839980873219,0.03890432083972385,0.008607028052210808,0.004880236927419901,0.0,0.0
56,ants,0.05,3.0,None,0,0.4027006837100305,0.38363045535292234,0.3931655695314764,0.0,0.0,0.0,0.0010130052687600255,0.0009861704893410206,0.5974022746086121,0.4462961256504059
57,ants,0.1,3.0,None,0,0.43654124930179206,0.41972613643276735,0.4281336928672797,0.0,0.0,0.0,0.0029298460576683283,0.0027716802433133125,0.43567609786987305,0.283321350812912
58,ants,0.15,3.0,None,0,0.460758248735845,0.44255740509604113,0.45165782691594303,0.0,0.0,0.0,0.005661738105118275,0.005326512269675732,0.3515133261680603,0.236070454120636
59,ants,0.2,3.0,None,0,0.4766030888928305,0.4577215439762522,0.4671623164345413,0.0,0.0,0.0,0.008352180942893028,0.007746877148747444,0.31441789865493774,0.19854168593883514
60,ants,0.25,3.0,None,0,0.4816252308538089,0.46163241728469473,0.47162882406925183,0.0,0.0,0.0,0.009631835855543613,0.008898776024580002,0.292889803647995,0.18687283992767334
61,ants,0.3,3.0,None,0,0.484004962483531,0.46518678886256204,0.4745958756730465,0.0,0.0,0.0,0.010261413641273975,0.009533773176372051,0.24888752400875092,0.17855355143547058
62,ants,0.35,3.0,None,0,0.4897085104237744,0.46957783021663374,0.4796431703202041,0.0,0.0,0.0,0.011366245336830616,0.010652130469679832,0.2289365828037262,0.1723446100950241
63,ants,0.4,3.0,None,0,0.4920255347091724,0.47267438986682736,0.48234996228799987,0.0,0.0,0.0,0.01179772149771452,0.011284168809652328,0.21883103251457214,0.17700056731700897
