pair,schedule,sym_dice,fixed_dice,moving_dice,folding_pct,min_jacobian,runtime_seconds
Pair 00 (Intra),"[40, 40, 15]",0.6618936892891657,0.6542938278697683,0.6694935507085631,0.0,1.0,153.81763696670532
mbhard (Inter),"[40, 40, 15]",0.6186680175594437,0.6438844887989974,0.5934515463198899,0.10120475569218541,-6.905608654022217,193.5267050266266
Pair 00 (Intra),"[100, 100, 6]",0.6658175396958814,0.655147896940222,0.6764871824515409,0.0,1.0,151.45662593841553
mbhard (Inter),"[100, 100, 6]",0.625979541128279,0.6518834428551542,0.6000756394014038,0.10407636302394221,-4.611238956451416,184.10796213150024
